ticket_id,created_at,created_by,email,location,department,category,priority,description,resolution_time_hours,resolved_at,resolution_notes,satisfaction_score
HBIT-10000,2025-06-29 09:16:46.594096,Stanislaw Anders MBA.,stanislaw.anders.mba.@hugoboss.com,Berlin Kurfürstendamm Store,Product Development,Performance,Medium,Extreme lag in Kaledo when opening large design files,11.836570906264837,2025-06-29 21:06:58.249359,"Optimized GPU settings, cleared cache",4
HBIT-10001,2025-06-20 07:50:25.506458,Prof. Moritz Jäntsch B.Sc.,prof..moritz.jäntsch.b.sc.@hugoboss.com,Berlin Kurfürstendamm Store,Pattern Making,Communication,Medium,Outlook not syncing - missing emails from retail stores,1.7118628734267811,2025-06-20 09:33:08.212802,"Recreated Outlook profile, fixed autodiscover",4
HBIT-10002,2025-06-18 01:14:09.703792,Zofia Kreusel,zofia.kreusel@hugoboss.com,Düsseldorf Showroom,Product Development,Communication,Medium,Outlook not syncing - missing emails from retail stores,5.814764173348767,2025-06-18 07:03:02.854816,"Recreated Outlook profile, fixed autodiscover",3
HBIT-10003,2025-06-18 13:33:22.177946,Univ.Prof. Katerina Speer,univ.prof..katerina.speer@hugoboss.com,Filderstadt Logistics Hub,Supply Chain,VDI,High,VDI session frozen while working on CLO 3D,2.1502531669942866,2025-06-18 15:42:23.089347,Increased VDI memory allocation from 8GB to 16GB,5
HBIT-10004,2025-07-22 20:45:59.984729,Dr. Heinz-Otto Aumann B.A.,dr..heinz-otto.aumann.b.a.@hugoboss.com,Frankfurt Office,E-Commerce,VDI,High,VDI session frozen while working on Adobe Illustrator,0.30638822167663915,2025-07-22 21:04:22.982327,Increased VDI memory allocation from 8GB to 16GB,4
HBIT-10005,2025-06-14 00:19:30.415390,Prof. Anne-Kathrin Vogt,prof..anne-kathrin.vogt@hugoboss.com,Munich Flagship Store,Visual Merchandising,Communication,Medium,Outlook not syncing - missing emails from retail stores,20.422646055525764,2025-06-14 20:44:51.941190,"Recreated Outlook profile, fixed autodiscover",4
HBIT-10006,2025-07-14 00:56:40.354986,Ladislaus Hesse,ladislaus.hesse@hugoboss.com,Metzingen Headquarters,Retail Operations,Retail Systems,Critical,POS terminal MOBILE-POS-01 offline - customers waiting,0.25,2025-07-14 01:00:12.960626,"Rebooted terminal, restored network connectivity",4
HBIT-10007,2025-06-19 21:42:40.254823,Ann Neureuther,ann.neureuther@hugoboss.com,Stuttgart Distribution Center,HR,Performance,Medium,Extreme lag in Photoshop when opening large design files,13.462530415506983,2025-06-20 11:10:25.364319,"Optimized GPU settings, cleared cache",5
HBIT-10008,2025-07-05 04:28:38.728292,Ivan Dobes MBA.,ivan.dobes.mba.@hugoboss.com,Frankfurt Office,Pattern Making,Communication,Medium,Outlook not syncing - missing emails from management,10.753451930058278,2025-07-05 15:13:51.155240,"Recreated Outlook profile, fixed autodiscover",3
HBIT-10009,2025-06-29 15:03:07.644080,Oxana Hettner B.Eng.,oxana.hettner.b.eng.@hugoboss.com,Metzingen Headquarters,E-Commerce,Performance,Medium,Extreme lag in Kaledo when opening large design files,6.191193780348985,2025-06-29 21:14:35.941689,"Optimized GPU settings, cleared cache",4
HBIT-10010,2025-07-20 04:48:09.481010,Curt Lehmann,curt.lehmann@hugoboss.com,Stuttgart Distribution Center,Marketing,Communication,Medium,Outlook not syncing - missing emails from customers,3.9963933057045393,2025-07-20 08:47:56.496911,"Recreated Outlook profile, fixed autodiscover",5
HBIT-10011,2025-07-09 06:43:01.813799,Rebecca Jähn,rebecca.jähn@hugoboss.com,Berlin Kurfürstendamm Store,Marketing,ERP,Critical,Cannot access SAP Fashion Management - Error TIME_OUT,0.25,2025-07-09 06:45:55.767797,"Restarted SAP connector service, cleared user buffer",3
